Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Times, Info, TA, RA, !BOOM!,,,,,,,,,
SWR472,B772,KRNO,OEJN,11928.36,22351.86,173.7,140,206,41,0,,,,,,,,,
LOT566,B763,KDCA,OYSN,10858.44,22366.08,191.8,87,104,218,0,,,,,,,,,
DLH819,B77W,CYYZ,LWSK,11972.28,22371.48,173.3,61,0,1,0,,,,,,,,,
UAL997,A333,KBDL,LFPG,11231.82,22386.24,185.9,0,0,0,0,,,,,,,,,
TAP277,B788,KLGA,EDDB,11544.72,22419.96,181.3,71,70,0,0,,,,,,,,,
VIR917,B77L,CYXU,EPKK,11713.44,22451.64,179,100,227,8,0,,,,,,,,,
EIN59,B788,MMPR,UTTT,11004.96,22451.64,190.8,66,41,113,0,,,,,,,,,
VIR668,B763,KCHS,DNKN,10466.22,22458.36,199.9,35,42,112,0,,,,,,,,,
UAL856,B789,KMSN,EPKK,11995.5,22477.92,174.7,65,357,47,0,,,,,,,,,
EIN396,B77W,MMCS,LKPR,11397.96,22538.58,185.7,100,330,5,0,,,,,,,,,
THY37,B77W,KFAR,OEJN,12151.08,22556.28,173.4,136,195,89,0,,,,,,,,,
SAS243,A359,CYXU,HSSS,11419.32,22621.74,186.7,322,276,7,0,,,,,,,,,
TAP448,A339,KSYR,HSSS,11800.8,22695.36,181.6,683,38,0,0,,,,,,,,,
TAP344,B78X,KOMA,OEAB,11821.38,22695.36,181.2,252,180,3,0,,,,,,,,,
KLM284,A35K,KBIL,GMMX,11191.8,22722.36,192.2,168,91,72,0,,,,,,,,,
IBE436,B77L,KDLH,LPPD,12059.04,22735.56,177.9,112,64,7,0,,,,,,,,,
DAL316,B788,KLAX,OERK,10921.02,22741.08,197,118,2,1,0,,,,,,,,,
AFR674,A35K,KICT,OLBA,11670.42,22766.34,184.9,165,550,118,0,,,,,,,,,
IBE271,B77L,KPBI,LCLK,12348.12,22773.72,173.8,257,193,22,0,,,,,,,,,
THY478,B789,KMSY,FLLS,11863.86,22832.28,182.8,132,291,74,0,,,,,,,,,
SWR273,B772,KSTL,EDDM,11777.52,22851.84,184.6,46,206,3,0,,,,,,,,,
ETD811,A332,KMKE,DIAP,11606.82,22871.34,187.7,258,343,53,0,,,,,,,,,
UAE672,A359,MMAS,DAKK,12578.22,22871.34,171.6,0,0,0,0,,,,,,,,,
ETD67,A333,KALB,VIDP,12258.9,22884.48,177.1,182,122,0,0,,,,,,,,,
SAS454,A332,KROC,EPWA,11376.42,22898.52,192,59,161,10,0,,,,,,,,,
UAL399,B752,KOKC,LDZA,12084.06,22904.28,180.3,255,755,11,0,,,,,,,,,
DLH506,A332,CYYT,LFPO,11691.84,22936.74,187.4,54,587,8,0,,,,,,,,,
SWR794,B789,MMZP,LFMN,11586.3,22963.86,189.6,22,121,1,0,,,,,,,,,
TAP4,A332,KLGA,ORER,11440.02,22977.06,192.3,145,512,34,0,,,,,,,,,
SWR477,B77W,CYXE,OIKB,12530.76,23004,174.6,35,51,114,0,,,,,,,,,
